ID,SPECIES_NAME,TAXONOMIC_NAME,Level,submitted_name,valid_name_FishBase,Genus_FishBase,Family_FishBase,Class_FishBase,AphiaID,rls_EM,Comment
17,Acanthaluteres brownii,Acanthaluteres brownii,species,Acanthaluteres brownii,Acanthaluteres brownii,Acanthaluteres,Monacanthidae,Actinopteri,279462,1,NA
18,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,species,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,Acanthaluteres,Monacanthidae,Actinopteri,279463,1,NA
19,Acanthaluteres vittiger,Acanthaluteres vittiger,species,Acanthaluteres vittiger,Acanthaluteres vittiger,Acanthaluteres,Monacanthidae,Actinopteri,279464,1,NA
20,Acanthemblemaria crockeri,Acanthemblemaria crockeri,species,Acanthemblemaria crockeri,Acanthemblemaria crockeri,Acanthemblemaria,Chaenopsidae,Actinopteri,279449,1,NA
21,Acanthemblemaria hancocki,Acanthemblemaria hancocki,species,Acanthemblemaria hancocki,Acanthemblemaria hancocki,Acanthemblemaria,Chaenopsidae,Actinopteri,279452,1,NA
22,Acanthemblemaria spinosa,Acanthemblemaria spinosa,species,Acanthemblemaria spinosa,Acanthemblemaria spinosa,Acanthemblemaria,Chaenopsidae,Actinopteri,254883,1,NA
23,Acanthistius cinctus,Acanthistius cinctus,species,Acanthistius cinctus,Acanthistius cinctus,Acanthistius,Serranidae,Actinopteri,278721,1,NA
24,Acanthistius ocellatus,Acanthistius ocellatus,species,Acanthistius ocellatus,Acanthistius ocellatus,Acanthistius,Serranidae,Actinopteri,278723,1,NA
25,Acanthistius pardalotus,Acanthistius pardalotus,species,Acanthistius pardalotus,Acanthistius pardalotus,Acanthistius,Serranidae,Actinopteri,278724,1,NA
26,Acanthistius patachonicus,Acanthistius patachonicus,species,Acanthistius patachonicus,Acanthistius patachonicus,Acanthistius,Serranidae,Actinopteri,278725,1,NA
27,Acanthistius sebastoides,Acanthistius sebastoides,species,Acanthistius sebastoides,Acanthistius sebastoides,Acanthistius,Serranidae,Actinopteri,218166,1,NA
28,Acanthistius serratus,Acanthistius serratus,species,Acanthistius serratus,Acanthistius serratus,Acanthistius,Serranidae,Actinopteri,278728,1,NA
29,Acanthochromis polyacanthus,Acanthochromis polyacanthus,species,Acanthochromis polyacanthus,Acanthochromis polyacanthus,Acanthochromis,Pomacentridae,Actinopteri,279469,1,NA
30,Acanthocybium solandri,Acanthocybium solandri,species,Acanthocybium solandri,Acanthocybium solandri,Acanthocybium,Scombridae,Actinopteri,127014,1,NA
31,Acanthopagrus australis,Acanthopagrus australis,species,Acanthopagrus australis,Acanthopagrus australis,Acanthopagrus,Sparidae,Actinopteri,279070,1,NA
32,Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,species,Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,Acanthopagrus,Sparidae,Actinopteri,218589,1,NA
33,Acanthopagrus latus,Acanthopagrus latus,species,Acanthopagrus latus,Acanthopagrus latus,Acanthopagrus,Sparidae,Actinopteri,218587,1,NA
34,Acanthostracion polygonius,Acanthostracion polygonius,species,Acanthostracion polygonius,Acanthostracion polygonius,Acanthostracion,Ostraciidae,Actinopteri,158919,1,NA
35,Acanthostracion quadricornis,Acanthostracion quadricornis,species,Acanthostracion quadricornis,Acanthostracion quadricornis,Acanthostracion,Ostraciidae,Actinopteri,158920,1,NA
36,Acanthurid spp.,Acanthurid spp.,higher,NA,NA,NA,NA,NA,NA,NA,NA
37,Acanthurus achilles,Acanthurus achilles,species,Acanthurus achilles,Acanthurus achilles,Acanthurus,Acanthuridae,Actinopteri,272957,1,NA
38,Acanthurus albipectoralis,Acanthurus albipectoralis,species,Acanthurus albipectoralis,Acanthurus albipectoralis,Acanthurus,Acanthuridae,Actinopteri,272958,1,NA
39,Acanthurus auranticavus,Acanthurus auranticavus,species,Acanthurus auranticavus,Acanthurus auranticavus,Acanthurus,Acanthuridae,Actinopteri,219633,1,NA
40,Acanthurus bahianus,Acanthurus bahianus,species,Acanthurus bahianus,Acanthurus bahianus,Acanthurus,Acanthuridae,Actinopteri,159578,1,NA
41,Acanthurus bariene,Acanthurus bariene,species,Acanthurus bariene,Acanthurus bariene,Acanthurus,Acanthuridae,Actinopteri,219637,1,NA
42,Acanthurus blochii,Acanthurus blochii,species,Acanthurus blochii,Acanthurus blochii,Acanthurus,Acanthuridae,Actinopteri,219639,1,NA
43,Acanthurus chirurgus,Acanthurus chirurgus,species,Acanthurus chirurgus,Acanthurus chirurgus,Acanthurus,Acanthuridae,Actinopteri,159580,1,NA
44,Acanthurus coeruleus,Acanthurus coeruleus,species,Acanthurus coeruleus,Acanthurus coeruleus,Acanthurus,Acanthuridae,Actinopteri,159581,1,NA
45,Acanthurus dussumieri,Acanthurus dussumieri,species,Acanthurus dussumieri,Acanthurus dussumieri,Acanthurus,Acanthuridae,Actinopteri,219641,1,NA
46,Acanthurus fowleri,Acanthurus fowleri,species,Acanthurus fowleri,Acanthurus fowleri,Acanthurus,Acanthuridae,Actinopteri,272960,1,NA
47,Acanthurus gahhm,Acanthurus gahhm,species,Acanthurus gahhm,Acanthurus gahhm,Acanthurus,Acanthuridae,Actinopteri,219636,1,NA
48,Acanthurus grammoptilus,Acanthurus grammoptilus,species,Acanthurus grammoptilus,Acanthurus grammoptilus,Acanthurus,Acanthuridae,Actinopteri,272961,1,NA
49,Acanthurus grammoptilus (cf),Acanthurus spp.,species,Acanthurus grammoptilus,Acanthurus grammoptilus,Acanthurus,Acanthuridae,Actinopteri,272961,1,NA
50,Acanthurus guttatus,Acanthurus guttatus,species,Acanthurus guttatus,Acanthurus guttatus,Acanthurus,Acanthuridae,Actinopteri,219650,1,NA
51,Acanthurus leucocheilus,Acanthurus leucocheilus,species,Acanthurus leucocheilus,Acanthurus leucocheilus,Acanthurus,Acanthuridae,Actinopteri,219629,1,NA
52,Acanthurus leucopareius,Acanthurus leucopareius,species,Acanthurus leucopareius,Acanthurus leucopareius,Acanthurus,Acanthuridae,Actinopteri,219624,1,NA
53,Acanthurus leucosternon,Acanthurus leucosternon,species,Acanthurus leucosternon,Acanthurus leucosternon,Acanthurus,Acanthuridae,Actinopteri,219628,1,NA
54,Acanthurus lineatus,Acanthurus lineatus,species,Acanthurus lineatus,Acanthurus lineatus,Acanthurus,Acanthuridae,Actinopteri,159582,1,NA
55,Acanthurus maculiceps,Acanthurus maculiceps,species,Acanthurus maculiceps,Acanthurus maculiceps,Acanthurus,Acanthuridae,Actinopteri,272963,1,NA
56,Acanthurus mata,Acanthurus mata,species,Acanthurus mata,Acanthurus mata,Acanthurus,Acanthuridae,Actinopteri,219651,1,NA
57,Acanthurus nigricans,Acanthurus nigricans,species,Acanthurus nigricans,Acanthurus nigricans,Acanthurus,Acanthuridae,Actinopteri,219638,1,NA
58,Acanthurus nigricauda,Acanthurus nigricauda,species,Acanthurus nigricauda,Acanthurus nigricauda,Acanthurus,Acanthuridae,Actinopteri,219626,1,NA
59,Acanthurus nigrofuscus,Acanthurus nigrofuscus,species,Acanthurus nigrofuscus,Acanthurus nigrofuscus,Acanthurus,Acanthuridae,Actinopteri,219640,1,NA
60,Acanthurus nigroris,Acanthurus nigroris,species,Acanthurus nigroris,Acanthurus nigroris,Acanthurus,Acanthuridae,Actinopteri,219642,1,NA
61,Acanthurus nubilus,Acanthurus nubilus,species,Acanthurus nubilus,Acanthurus nubilus,Acanthurus,Acanthuridae,Actinopteri,272964,1,NA
62,Acanthurus olivaceus,Acanthurus olivaceus,species,Acanthurus olivaceus,Acanthurus olivaceus,Acanthurus,Acanthuridae,Actinopteri,219625,1,NA
63,Acanthurus pyroferus,Acanthurus pyroferus,species,Acanthurus pyroferus,Acanthurus pyroferus,Acanthurus,Acanthuridae,Actinopteri,219648,1,NA
64,Acanthurus reversus,Acanthurus reversus,species,Acanthurus reversus,Acanthurus reversus,Acanthurus,Acanthuridae,Actinopteri,272966,1,NA
65,Acanthurus sohal,Acanthurus sohal,species,Acanthurus sohal,Acanthurus sohal,Acanthurus,Acanthuridae,Actinopteri,219649,1,NA
66,Acanthurus spp.,Acanthurus spp.,genus,NA,NA,Acanthurus,Acanthuridae,Actinopteri,NA,NA,NA
67,Acanthurus tennentii,Acanthurus tennentii,species,Acanthurus tennentii,Acanthurus tennentii,Acanthurus,Acanthuridae,Actinopteri,219632,1,NA
68,Acanthurus thompsoni,Acanthurus thompsoni,species,Acanthurus thompsoni,Acanthurus thompsoni,Acanthurus,Acanthuridae,Actinopteri,219646,1,NA
69,Acanthurus tractus,Acanthurus tractus,species,Acanthurus tractus,Acanthurus tractus,Acanthurus,Acanthuridae,Actinopteri,301914,1,NA
70,Acanthurus triostegus,Acanthurus triostegus,species,Acanthurus triostegus,Acanthurus triostegus,Acanthurus,Acanthuridae,Actinopteri,219630,1,NA
71,Acanthurus tristis,Acanthurus tristis,species,Acanthurus tristis,Acanthurus tristis,Acanthurus,Acanthuridae,Actinopteri,219644,1,NA
72,Acanthurus xanthopterus,Acanthurus xanthopterus,species,Acanthurus xanthopterus,Acanthurus xanthopterus,Acanthurus,Acanthuridae,Actinopteri,219634,1,NA
73,Achoerodus gouldii,Achoerodus gouldii,species,Achoerodus gouldii,Achoerodus gouldii,Achoerodus,Labridae,Actinopteri,279497,1,NA
74,Achoerodus viridis,Achoerodus viridis,species,Achoerodus viridis,Achoerodus viridis,Achoerodus,Labridae,Actinopteri,279498,1,NA
75,Actinopterygii spp.,Actinopterygii spp.,higher,NA,NA,NA,NA,NA,NA,NA,NA
76,Aeoliscus strigatus,Aeoliscus strigatus,species,Aeoliscus strigatus,Aeoliscus strigatus,Aeoliscus,Centriscidae,Actinopteri,217968,1,NA
77,Aetapcus maculatus,Aetapcus maculatus,species,Aetapcus maculatus,Aetapcus maculatus,Aetapcus,Pataecidae,Actinopteri,279511,1,NA
78,Aethaloperca rogaa,Aethaloperca rogaa,species,Aethaloperca rogaa,Aethaloperca rogaa,Aethaloperca,Serranidae,Actinopteri,218168,1,NA
79,Aetobatus narinari,Aetobatus narinari,species,Aetobatus narinari,Aetobatus narinari,Aetobatus,Aetobatidae,Elasmobranchii,217426,1,NA
80,Aetobatus ocellatus,Aetobatus ocellatus,species,Aetobatus ocellatus,Aetobatus ocellatus,Aetobatus,Aetobatidae,Elasmobranchii,278243,1,NA
81,Afurcagobius tamarensis,Afurcagobius tamarensis,species,Afurcagobius tamarensis,Afurcagobius tamarensis,Afurcagobius,Gobiidae,Actinopteri,279515,1,NA
82,Aioliops megastigma,Aioliops megastigma,species,Aioliops megastigma,Aioliops megastigma,Aioliops,Gobiidae,Actinopteri,279528,1,NA
83,Aioliops novaeguineae,Aioliops novaeguineae,species,Aioliops novaeguineae,Aioliops novaeguineae,Aioliops,Gobiidae,Actinopteri,279529,1,NA
84,Aioliops spp.,Aioliops spp.,genus,NA,NA,Aioliops,Gobiidae,Actinopteri,NA,NA,NA
85,Alectis ciliaris,Alectis ciliaris,species,Alectis ciliaris,Alectis ciliaris,Alectis,Carangidae,Actinopteri,159629,1,NA
86,Alectis indica,Alectis indicus,species,Alectis indica,Alectis indica,Alectis,Carangidae,Actinopteri,401562,1,NA
87,Alepes spp.,Alepes spp.,genus,NA,NA,Alepes,Carangidae,Actinopteri,NA,NA,NA
88,Alloclinus holderi,Alloclinus holderi,species,Alloclinus holderi,Alloclinus holderi,Alloclinus,Labrisomidae,Actinopteri,279560,1,NA
89,Allomycterus pilatus,Allomycterus pilatus,species,Allomycterus pilatus,Allomycterus pilatus,Allomycterus,Diodontidae,Actinopteri,279562,1,NA
90,Alphestes immaculatus,Alphestes immaculatus,species,Alphestes immaculatus,Alphestes immaculatus,Alphestes,Serranidae,Actinopteri,279568,1,NA
91,Aluterus scriptus,Aluterus scriptus,species,Aluterus scriptus,Aluterus scriptus,Aluterus,Monacanthidae,Actinopteri,159491,1,NA
92,Amanses scopas,Amanses scopas,species,Amanses scopas,Amanses scopas,Amanses,Monacanthidae,Actinopteri,212242,1,NA
93,Amanses spp.,Amanses spp.,genus,NA,NA,Amanses,Monacanthidae,Actinopteri,NA,NA,NA
94,Ambassis jacksoniensis,Ambassis jacksoniensis,species,Ambassis jacksoniensis,Ambassis jacksoniensis,Ambassis,Ambassidae,Actinopteri,277734,1,NA
95,Amblycirrhitus bimacula,Amblycirrhitus bimacula,species,Amblycirrhitus bimacula,Amblycirrhitus bimacula,Amblycirrhitus,Cirrhitidae,Actinopteri,218851,1,NA
96,Amblycirrhitus pinos,Amblycirrhitus pinos,species,Amblycirrhitus pinos,Amblycirrhitus pinos,Amblycirrhitus,Cirrhitidae,Actinopteri,277569,1,NA
97,Amblyeleotris fasciata,Amblyeleotris fasciata,species,Amblyeleotris fasciata,Amblyeleotris fasciata,Amblyeleotris,Gobiidae,Actinopteri,278965,1,NA
98,Amblyeleotris guttata,Amblyeleotris guttata,species,Amblyeleotris guttata,Amblyeleotris guttata,Amblyeleotris,Gobiidae,Actinopteri,278967,1,NA
99,Amblyeleotris gymnocephala,Amblyeleotris gymnocephala,species,Amblyeleotris gymnocephala,Amblyeleotris gymnocephala,Amblyeleotris,Gobiidae,Actinopteri,278968,1,NA
100,Amblyeleotris japonica,Amblyeleotris japonica,species,Amblyeleotris japonica,Amblyeleotris japonica,Amblyeleotris,Gobiidae,Actinopteri,278970,1,NA
101,Amblyeleotris katherine,Amblyeleotris katherine,species,Amblyeleotris katherine,Amblyeleotris fasciata,Amblyeleotris,Gobiidae,Actinopteri,278965,1,NA
102,Amblyeleotris periophthalma,Amblyeleotris periophthalma,species,Amblyeleotris periophthalma,Amblyeleotris periophthalma,Amblyeleotris,Gobiidae,Actinopteri,278979,1,NA
103,Amblyeleotris spp.,Amblyeleotris spp.,genus,NA,NA,Amblyeleotris,Gobiidae,Actinopteri,NA,NA,NA
104,Amblyeleotris steinitzi,Amblyeleotris steinitzi,species,Amblyeleotris steinitzi,Amblyeleotris steinitzi,Amblyeleotris,Gobiidae,Actinopteri,209273,1,NA
105,Amblyeleotris sungami,Amblyeleotris sungami,species,Amblyeleotris sungami,Amblyeleotris sungami,Amblyeleotris,Gobiidae,Actinopteri,209270,1,NA
106,Amblyeleotris wheeleri,Amblyeleotris wheeleri,species,Amblyeleotris wheeleri,Amblyeleotris wheeleri,Amblyeleotris,Gobiidae,Actinopteri,209274,1,NA
107,Amblyglyphidodon aureus,Amblyglyphidodon aureus,species,Amblyglyphidodon aureus,Amblyglyphidodon aureus,Amblyglyphidodon,Pomacentridae,Actinopteri,277595,1,NA
108,Amblyglyphidodon batunai,Amblyglyphidodon batunai,species,Amblyglyphidodon batunai,Amblyglyphidodon batunai,Amblyglyphidodon,Pomacentridae,Actinopteri,277596,1,NA
109,Amblyglyphidodon curacao,Amblyglyphidodon curacao,species,Amblyglyphidodon curacao,Amblyglyphidodon curacao,Amblyglyphidodon,Pomacentridae,Actinopteri,277597,1,NA
110,Amblyglyphidodon flavilatus,Amblyglyphidodon flavilatus,species,Amblyglyphidodon flavilatus,Amblyglyphidodon flavilatus,Amblyglyphidodon,Pomacentridae,Actinopteri,218778,1,NA
111,Amblyglyphidodon indicus,Amblyglyphidodon indicus,species,Amblyglyphidodon indicus,Amblyglyphidodon indicus,Amblyglyphidodon,Pomacentridae,Actinopteri,277598,1,NA
112,Amblyglyphidodon leucogaster,Amblyglyphidodon leucogaster,species,Amblyglyphidodon leucogaster,Amblyglyphidodon leucogaster,Amblyglyphidodon,Pomacentridae,Actinopteri,218779,1,NA
113,Amblyglyphidodon melanopterus,Amblyglyphidodon melanopterus,species,Amblyglyphidodon melanopterus,Amblyglyphidodon melanopterus,Amblyglyphidodon,Pomacentridae,Actinopteri,277599,1,NA
114,Amblyglyphidodon orbicularis,Amblyglyphidodon orbicularis,species,Amblyglyphidodon orbicularis,Amblyglyphidodon orbicularis,Amblyglyphidodon,Pomacentridae,Actinopteri,277600,1,NA
115,Amblyglyphidodon spp.,Amblyglyphidodon spp.,genus,NA,NA,Amblyglyphidodon,Pomacentridae,Actinopteri,NA,NA,NA
116,Amblyglyphidodon ternatensis,Amblyglyphidodon ternatensis,species,Amblyglyphidodon ternatensis,Amblyglyphidodon ternatensis,Amblyglyphidodon,Pomacentridae,Actinopteri,277601,1,NA
117,Amblygobius buanensis,Amblygobius buanensis,species,Amblygobius buanensis,Amblygobius buanensis,Amblygobius,Gobiidae,Actinopteri,278649,1,NA
118,Amblygobius bynoensis,Amblygobius bynoensis,species,Amblygobius bynoensis,Amblygobius bynoensis,Amblygobius,Gobiidae,Actinopteri,278650,1,NA
119,Amblygobius decussatus,Amblygobius decussatus,species,Amblygobius decussatus,Amblygobius decussatus,Amblygobius,Gobiidae,Actinopteri,278651,1,NA
120,Amblygobius nocturnus,Amblygobius nocturnus,species,Amblygobius nocturnus,Amblygobius nocturnus,Amblygobius,Gobiidae,Actinopteri,219377,1,NA
121,Amblygobius phalaena,Amblygobius phalaena,species,Amblygobius phalaena,Amblygobius phalaena,Amblygobius,Gobiidae,Actinopteri,278655,1,NA
122,Amblygobius spp.,Amblygobius spp.,genus,NA,NA,Amblygobius,Gobiidae,Actinopteri,NA,NA,NA
123,Amblyrhynchotes honckenii,Amblyrhynchotes honckenii,species,Amblyrhynchotes honckenii,Amblyrhynchotes honckenii,Amblyrhynchotes,Tetraodontidae,Actinopteri,219919,1,NA
124,Ammodytes tobianus,Ammodytes tobianus,species,Ammodytes tobianus,Ammodytes tobianus,Ammodytes,Ammodytidae,Actinopteri,126752,1,NA
125,Amphichaetodon howensis,Amphichaetodon howensis,species,Amphichaetodon howensis,Amphichaetodon howensis,Amphichaetodon,Chaetodontidae,Actinopteri,279588,1,NA
126,Amphichthys cryptocentrus,Amphichthys cryptocentrus,species,Amphichthys cryptocentrus,Amphichthys cryptocentrus,Amphichthys,Batrachoididae,Actinopteri,279590,1,NA
127,Amphiprion akallopisos,Amphiprion akallopisos,species,Amphiprion akallopisos,Amphiprion akallopisos,Amphiprion,Pomacentridae,Actinopteri,212770,1,NA
128,Amphiprion akindynos,Amphiprion akindynos,species,Amphiprion akindynos,Amphiprion akindynos,Amphiprion,Pomacentridae,Actinopteri,278392,1,NA
129,Amphiprion allardi,Amphiprion allardi,species,Amphiprion allardi,Amphiprion allardi,Amphiprion,Pomacentridae,Actinopteri,212771,1,NA
130,Amphiprion bicinctus,Amphiprion bicinctus,species,Amphiprion bicinctus,Amphiprion bicinctus,Amphiprion,Pomacentridae,Actinopteri,212778,1,NA
131,Amphiprion chrysopterus,Amphiprion chrysopterus,species,Amphiprion chrysopterus,Amphiprion chrysopterus,Amphiprion,Pomacentridae,Actinopteri,278393,1,NA
132,Amphiprion clarkii,Amphiprion clarkii,species,Amphiprion clarkii,Amphiprion clarkii,Amphiprion,Pomacentridae,Actinopteri,212783,1,NA
133,Amphiprion ephippium,Amphiprion ephippium,species,Amphiprion ephippium,Amphiprion ephippium,Amphiprion,Pomacentridae,Actinopteri,212782,1,NA
134,Amphiprion frenatus,Amphiprion frenatus,species,Amphiprion frenatus,Amphiprion frenatus,Amphiprion,Pomacentridae,Actinopteri,278394,1,NA
135,Amphiprion fuscocaudatus,Amphiprion fuscocaudatus,species,Amphiprion fuscocaudatus,Amphiprion fuscocaudatus,Amphiprion,Pomacentridae,Actinopteri,212774,1,NA
136,Amphiprion latezonatus,Amphiprion latezonatus,species,Amphiprion latezonatus,Amphiprion latezonatus,Amphiprion,Pomacentridae,Actinopteri,278395,1,NA
137,Amphiprion leucokranos,Amphiprion leucokranos,species,Amphiprion leucokranos,Amphiprion leucokranos,Amphiprion,Pomacentridae,Actinopteri,278396,1,NA
138,Amphiprion mccullochi,Amphiprion mccullochi,species,Amphiprion mccullochi,Amphiprion mccullochi,Amphiprion,Pomacentridae,Actinopteri,278397,1,NA
139,Amphiprion melanopus,Amphiprion melanopus,species,Amphiprion melanopus,Amphiprion melanopus,Amphiprion,Pomacentridae,Actinopteri,278398,1,NA
140,Amphiprion nigripes,Amphiprion nigripes,species,Amphiprion nigripes,Amphiprion nigripes,Amphiprion,Pomacentridae,Actinopteri,278399,1,NA
141,Amphiprion ocellaris,Amphiprion ocellaris,species,Amphiprion ocellaris,Amphiprion ocellaris,Amphiprion,Pomacentridae,Actinopteri,278400,1,NA
142,Amphiprion percula,Amphiprion percula,species,Amphiprion percula,Amphiprion percula,Amphiprion,Pomacentridae,Actinopteri,278402,1,NA
143,Amphiprion perideraion,Amphiprion perideraion,species,Amphiprion perideraion,Amphiprion perideraion,Amphiprion,Pomacentridae,Actinopteri,278403,1,NA
144,Amphiprion polymnus,Amphiprion polymnus,species,Amphiprion polymnus,Amphiprion polymnus,Amphiprion,Pomacentridae,Actinopteri,212781,1,NA
145,Amphiprion rubrocinctus,Amphiprion rubrocinctus,species,Amphiprion rubrocinctus,Amphiprion rubrocinctus,Amphiprion,Pomacentridae,Actinopteri,278404,1,NA
146,Amphiprion sandaracinos,Amphiprion sandaracinos,species,Amphiprion sandaracinos,Amphiprion sandaracinos,Amphiprion,Pomacentridae,Actinopteri,278405,1,NA
147,Amphiprion spp.,Amphiprion spp.,genus,NA,NA,Amphiprion,Pomacentridae,Actinopteri,NA,NA,NA
148,Amphistichus koelzi,Amphistichus koelzi,species,Amphistichus koelzi,Amphistichus koelzi,Amphistichus,Embiotocidae,Actinopteri,279595,1,NA
149,Anampses caeruleopunctatus,Anampses caeruleopunctatus,species,Anampses caeruleopunctatus,Anampses caeruleopunctatus,Anampses,Labridae,Actinopteri,218920,1,NA
150,Anampses cuvier,Anampses cuvier,species,Anampses cuvier,Anampses cuvier,Anampses,Labridae,Actinopteri,279169,1,NA
151,Anampses elegans,Anampses elegans,species,Anampses elegans,Anampses elegans,Anampses,Labridae,Actinopteri,279170,1,NA
152,Anampses femininus,Anampses femininus,species,Anampses femininus,Anampses femininus,Anampses,Labridae,Actinopteri,279171,1,NA
153,Anampses geographicus,Anampses geographicus,species,Anampses geographicus,Anampses geographicus,Anampses,Labridae,Actinopteri,218916,1,NA
154,Anampses lennardi,Anampses lennardi,species,Anampses lennardi,Anampses lennardi,Anampses,Labridae,Actinopteri,279172,1,NA
155,Anampses lineatus,Anampses lineatus,species,Anampses lineatus,Anampses lineatus,Anampses,Labridae,Actinopteri,218921,1,NA
156,Anampses melanurus,Anampses melanurus,species,Anampses melanurus,Anampses melanurus,Anampses,Labridae,Actinopteri,279173,1,NA
157,Anampses meleagrides,Anampses meleagrides,species,Anampses meleagrides,Anampses meleagrides,Anampses,Labridae,Actinopteri,218923,1,NA
158,Anampses neoguinaicus,Anampses neoguinaicus,species,Anampses neoguinaicus,Anampses neoguinaicus,Anampses,Labridae,Actinopteri,279174,1,NA
159,Anampses spp.,Anampses spp.,genus,NA,NA,Anampses,Labridae,Actinopteri,NA,NA,NA
160,Anampses twistii,Anampses twistii,species,Anampses twistii,Anampses twistii,Anampses,Labridae,Actinopteri,218918,1,NA
161,Anarrhichthys ocellatus,Anarrhichthys ocellatus,species,Anarrhichthys ocellatus,Anarrhichthys ocellatus,Anarrhichthys,Anarhichadidae,Actinopteri,279605,1,NA
162,Anguilla anguilla,Anguilla anguilla,species,Anguilla anguilla,Anguilla anguilla,Anguilla,Anguillidae,Actinopteri,126281,1,NA
163,Anisotremus caesius,Anisotremus caesius,species,Anisotremus caesius,Anisotremus caesius,Anisotremus,Haemulidae,Actinopteri,279616,1,NA
164,Anisotremus davidsonii,Anisotremus davidsonii,species,Anisotremus davidsonii,Anisotremus davidsonii,Anisotremus,Haemulidae,Actinopteri,279617,1,NA
165,Anisotremus interruptus,Anisotremus interruptus,species,Anisotremus interruptus,Anisotremus interruptus,Anisotremus,Haemulidae,Actinopteri,279619,1,NA
166,Anisotremus scapularis,Anisotremus scapularis,species,Anisotremus scapularis,Anisotremus scapularis,Anisotremus,Haemulidae,Actinopteri,279622,1,NA
167,Anisotremus surinamensis,Anisotremus surinamensis,species,Anisotremus surinamensis,Anisotremus surinamensis,Anisotremus,Haemulidae,Actinopteri,279623,1,NA
168,Anisotremus taeniatus,Anisotremus taeniatus,species,Anisotremus taeniatus,Anisotremus taeniatus,Anisotremus,Haemulidae,Actinopteri,279624,1,NA
169,Anisotremus virginicus,Anisotremus virginicus,species,Anisotremus virginicus,Anisotremus virginicus,Anisotremus,Haemulidae,Actinopteri,279625,1,NA
170,Anoplocapros amygdaloides,Anoplocapros amygdaloides,species,Anoplocapros amygdaloides,Anoplocapros amygdaloides,Anoplocapros,Aracanidae,Actinopteri,277921,1,NA
171,Anoplocapros inermis,Anoplocapros inermis,species,Anoplocapros inermis,Anoplocapros inermis,Anoplocapros,Aracanidae,Actinopteri,277922,1,NA
172,Anoplocapros lenticularis,Anoplocapros lenticularis,species,Anoplocapros lenticularis,Anoplocapros lenticularis,Anoplocapros,Aracanidae,Actinopteri,277923,1,NA
173,Anthias anthias,Anthias anthias,species,Anthias anthias,Anthias anthias,Anthias,Serranidae,Actinopteri,127031,1,NA
174,Anyperodon leucogrammicus,Anyperodon leucogrammicus,species,Anyperodon leucogrammicus,Anyperodon leucogrammicus,Anyperodon,Serranidae,Actinopteri,212549,1,NA
