"Species","MaxLength","Trophic.Level","Water.column","Diel.Activity","Habitat","ThermalMP_5min_95max","Vulnerability","IUCN_status","Trophic_guild","Trophic_guild_name","Benthic","DP","RedList","LRFI","TopPred"
"Acanthistius pardalotus",65,4.1,"Demersal","Day","rock",20.747625,0.247280909090909,NA,7,"crustacivore",0,1,NA,1,0
"Acanthochromis polyacanthus",14,2.7,"Demersal","Day","coral",25.819,0.235925909090909,"NThr",8,"planktivore",0,1,0,0,0
"Acanthocybium solandri",250,4.3,"pelagic non-site attached","Day","water column",NA,0.326977272727273,"NThr",NA,NA,0,1,0,1,NA
"Acanthopagrus australis",66,3.1,"Demersal","Day","rock",20.237,0.210010909090909,"NThr",7,"crustacivore",0,1,0,1,0
"Acanthopagrus latus",50,3.2,"Demersal","Day","rock",26.62595,0.210010909090909,NA,NA,NA,0,1,NA,1,NA
"Acanthostracion polygonius",50,2,"Demersal","Day","coral",26.9614,NA,"NThr",1,"sessile invertivores",0,1,0,1,0
"Acanthostracion quadricornis",55,3,"Demersal","Day","coral",23.8425,NA,"NThr",1,"sessile invertivores",0,1,0,1,0
"Acanthurus achilles",24,2,"Demersal","Day","coral",27.0545,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus albipectoralis",33,3.4,"Demersal","Day","coral",22.8091,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus auranticavus",45,2,"Demersal","Day","coral",26.987,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus bahianus",38.1,2,"Demersal","Day","coral",26.5805,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus bariene",50,2,"Demersal","Day","coral",28.35565,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus blochii",45,2,"Demersal","Day","coral",27.09435,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus chirurgus",39,2,"Demersal","Day","coral",26.3255,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus coeruleus",39,2,"Demersal","Day","coral",26.5805,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus dussumieri",54,2,"Demersal","Day","coral",24.23425,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus fowleri",45,2,"Demersal","Day","coral",30.31095,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus gahhm",40,2.8,"Demersal","Day","coral",27.117,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus grammoptilus",35,2.1,"Demersal","Day","coral",26.763,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus guttatus",26,2,"Demersal","Day","coral",26.75285,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus leucocheilus",45,2,"Demersal","Day","coral",27.9,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus leucopareius",24,2,"Demersal","Day","coral",24.4955,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus leucosternon",54,2,"Demersal","Day","coral",28.45325,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus lineatus",38,2,"Demersal","Day","coral",27.25235,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus maculiceps",40,2,"Demersal","Day","coral",28.1027,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus mata",50,2.5,"Demersal","Day","coral",26.872325,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus nigricans",21.3,2,"Demersal","Day","coral",27.3265,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus nigricauda",40,3,"Demersal","Day","coral",27.657,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus nigrofuscus",21,2,"Demersal","Day","coral",25.4475,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus nigroris",25,2,"Demersal","Day","coral",26.229375,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus nubilus",26,3.4,"Demersal","Day","coral",27.274275,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus olivaceus",35,2.2,"Demersal","Day","coral",24.3528,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus pyroferus",25,2,"Demersal","Day","coral",27.266,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus sohal",40,2,"Demersal","Day","coral",27.09775,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus tennentii",31,2,"Demersal","Day","coral",29.557525,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus thompsoni",27,3.4,"Demersal","Day","coral",26.87775,0.247911363636364,"NThr",8,"planktivore",0,1,0,1,0
"Acanthurus tractus",NA,NA,"benthic","Day","coral",NA,0.247911363636364,NA,NA,NA,1,0,NA,NA,NA
"Acanthurus triostegus",27,2.8,"Demersal","Day","coral",25.9618,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus tristis",25,2.2,"Demersal","Day","coral",29.274,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Acanthurus xanthopterus",70,2.9,"Demersal","Day","coral",27.382,0.247911363636364,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,1,0
"Achoerodus viridis",100,3.7,"Demersal","Day","rock",19.6225,0.214231363636364,"NThr",NA,NA,0,1,0,1,NA
"Aeoliscus strigatus",15,3.5,"Demersal","Day","coral",27.5332,0.206553636363636,NA,NA,NA,0,1,NA,0,0
"Aethaloperca rogaa",60,4.2,"Demersal","Day","coral",27.56155,0.247280909090909,"NThr",4,"piscivore",0,1,0,1,1
"Aioliops megastigma",3,3.1,"Demersal","Day","sand",NA,0.247280909090909,NA,NA,NA,0,1,NA,0,0
"Aioliops novaeguineae",NA,NA,"benthic","Day","sand",30.5165,0.247280909090909,NA,NA,NA,1,0,NA,NA,NA
"Alectis ciliaris",150,3.8,"pelagic non-site attached","Day","water column",23.9744,0.291196363636364,"NThr",4,"piscivore",0,1,0,1,1
"Alphestes immaculatus",30,3.5,"Demersal","Day","coral",25.322725,0.247280909090909,"NThr",7,"crustacivore",0,1,0,1,0
"Aluterus scriptus",110,2.8,"Demersal","Day","coral",26.1065,0.222886818181818,"NThr",3,"corallivore",0,1,0,1,0
"Amanses scopas",20,2.9,"Demersal","Day","coral",26.3882,0.222886818181818,"NThr",3,"corallivore",0,1,0,1,0
"Amblycirrhitus bimacula",8.5,3.5,"benthic","Day","coral",26.73645,NA,"NThr",7,"crustacivore",1,0,0,0,0
"Amblycirrhitus pinos",9.5,3.2,"benthic","Day","coral",27.008,NA,"NThr",8,"planktivore",1,0,0,0,0
"Amblyeleotris fasciata",8,3.3,"benthic","Day","sand",27.4312,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblyeleotris guttata",11,3.4,"benthic","Day","sand",27.1755,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblyeleotris gymnocephala",14,3.4,"benthic","Day","sand",26.56525,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblyeleotris periophthalma",11,3.4,"benthic","Day","sand",26.7289,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblyeleotris steinitzi",13,3.4,"benthic","Day","sand",27.714,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblyeleotris sungami",10,NA,"benthic","Day","sand",24.842275,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblyeleotris wheeleri",10,3.4,"benthic","Day","sand",27.045,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblyglyphidodon aureus",13,2.7,"Demersal","Day","coral",27.856475,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Amblyglyphidodon batunai",10,2.7,"Demersal","Day","coral",29.408,0.225135909090909,"Thr",8,"planktivore",0,1,1,0,0
"Amblyglyphidodon curacao",11,2.6,"Demersal","Day","coral",26.8,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Amblyglyphidodon flavilatus",10,2.7,"Demersal","Day","coral",25.863,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Amblyglyphidodon indicus",8.3,2.7,"Demersal","Day","coral",27.028,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Amblyglyphidodon leucogaster",13,3.4,"Demersal","Day","coral",27.43,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Amblyglyphidodon melanopterus",10.1,2.7,"Demersal","Day","coral",26.00245,0.225135909090909,"NThr",8,"planktivore",0,1,0,0,0
"Amblyglyphidodon orbicularis",8.3,2.7,"Demersal","Day","coral",29.0864,0.225135909090909,NA,8,"planktivore",0,1,NA,0,0
"Amblyglyphidodon ternatensis",10,2.7,"Demersal","Day","coral",27.0695,0.225135909090909,"Thr",8,"planktivore",0,1,1,0,0
"Amblygobius buanensis",8,NA,"benthic","Day","sand",29.916125,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblygobius bynoensis",10,2.7,"benthic","Day","sand",28.1508,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblygobius decussatus",9.5,2.7,"benthic","Day","sand",26.71155,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblygobius nocturnus",10,2.7,"benthic","Day","sand",24.7465,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amblygobius phalaena",15,2.7,"benthic","Day","sand",25.197,0.229279090909091,"NThr",5,"microinvertivore",1,0,0,0,0
"Amphichaetodon howensis",20,2.8,"Demersal","Day","coral",20.6858,0.22023,"NThr",5,"microinvertivore",0,1,0,1,0
"Amphiprion akallopisos",11,2.7,"Demersal","Day","coral",28.59855,0.348382272727273,"NThr",2,"Herbivores Microvores Detritivores",0,1,0,0,0
"Amphiprion akindynos",9,2.7,"Demersal","Day","coral",24.826,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion allardi",15,2.7,"Demersal","Day","coral",28.55425,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion bicinctus",14,2.7,"Demersal","Day","coral",25.6795,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion chrysopterus",17,2.8,"Demersal","Day","coral",26.78945,0.348382272727273,NA,8,"planktivore",0,1,NA,0,0
"Amphiprion clarkii",15,2.9,"Demersal","Day","coral",24.124625,0.348382272727273,NA,8,"planktivore",0,1,NA,0,0
"Amphiprion ephippium",14,2.7,"Demersal","Day","coral",30.046,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion frenatus",14,2.8,"Demersal","Day","coral",25.493,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion fuscocaudatus",14,2.7,"Demersal","Day","coral",29.227,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion latezonatus",14,2.7,"Demersal","Day","coral",22.419,0.348382272727273,NA,8,"planktivore",0,1,NA,0,0
"Amphiprion leucokranos",9,2.7,"Demersal","Day","coral",29.521025,0.348382272727273,NA,8,"planktivore",0,1,NA,0,0
"Amphiprion mccullochi",12,2.7,"Demersal","Day","coral",22.11515,0.348382272727273,NA,8,"planktivore",0,1,NA,0,0
"Amphiprion melanopus",12,2.8,"Demersal","Day","coral",25.23925,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion nigripes",11,2.7,"Demersal","Day","coral",29.47805,0.348382272727273,NA,8,"planktivore",0,1,NA,0,0
"Amphiprion ocellaris",11,3,"Demersal","Day","coral",28.09535,0.348382272727273,NA,8,"planktivore",0,1,NA,0,0
"Amphiprion percula",11,2.7,"Demersal","Day","coral",26.7046,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion perideraion",10,2.6,"Demersal","Day","coral",27.448925,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion polymnus",13,2.7,"Demersal","Day","coral",NA,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion rubrocinctus",12,2.6,"Demersal","Day","coral",27.34815,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Amphiprion sandaracinos",14,2.7,"Demersal","Day","coral",29.031825,0.348382272727273,"NThr",8,"planktivore",0,1,0,0,0
"Anampses caeruleopunctatus",42,3.3,"Demersal","Day","coral",24.412,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,1,0
"Anampses cuvier",31,3.4,"Demersal","Day","coral",25.752,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,1,0
"Anampses elegans",30,3.5,"Demersal","Day","coral",21.59,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,1,0
"Anampses femininus",24,3.5,"Demersal","Day","coral",23.510625,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,1,0
"Anampses geographicus",31,3.2,"Demersal","Day","coral",23.5879,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,1,0
"Anampses lennardi",28,3.5,"Demersal","Day","coral",26.90125,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,1,0
"Anampses lineatus",13,3.4,"Demersal","Day","coral",24.45625,0.214231363636364,NA,5,"microinvertivore",0,1,NA,0,0
"Anampses melanurus",12,3.4,"Demersal","Day","coral",26.67965,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,0,0
"Anampses meleagrides",22,3.5,"Demersal","Day","coral",27.218,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,1,0
"Anampses neoguinaicus",20,3.5,"Demersal","Day","coral",24.472,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,1,0
"Anampses twistii",18,3.5,"Demersal","Day","coral",27.0252,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,0,0
"Anarrhichthys ocellatus",240,3.5,"benthic","Day","rock",16.4587,0.247280909090909,"NThr",NA,NA,1,0,0,1,NA
"Anisotremus caesius",30,3.4,"Demersal","Night","coral",26.5315,NA,"NThr",6,"macroinvertivore",0,1,0,1,0
"Anisotremus interruptus",51,3.5,"Demersal","Night","coral",25.3245,NA,"NThr",6,"macroinvertivore",0,1,0,1,0
"Anisotremus scapularis",40,3.3,"Demersal","Night","coral",23.1575,NA,"NThr",6,"macroinvertivore",0,1,0,1,0
"Anisotremus surinamensis",76,3.3,"Demersal","Night","coral",26.697975,NA,NA,6,"macroinvertivore",0,1,NA,1,0
"Anisotremus taeniatus",31,4.2,"Demersal","Night","coral",25.736375,NA,"NThr",6,"macroinvertivore",0,1,0,1,0
"Anisotremus virginicus",40.6,3.4,"Demersal","Night","coral",26.657,NA,"NThr",6,"macroinvertivore",0,1,0,1,0
"Anyperodon leucogrammicus",65,3.9,"Demersal","Day","coral",28.971,0.247280909090909,"NThr",4,"piscivore",0,1,0,1,1
"Aphareus furca",70,4.1,"Demersal","Day","coral",26.8855,0.228279545454545,"NThr",4,"piscivore",0,1,0,1,1
"Aphareus rutilans",70,4.1,"Demersal","Day","rock",20.9657,0.228279545454545,"NThr",4,"piscivore",0,1,0,1,1
"Aplodactylus etheridgii",45,2,"Demersal","Day","rock",21.115725,NA,NA,NA,NA,0,1,NA,1,0
"Apogon apogonides",10.15238095,3.490581286,"pelagic site attached","Night","Coral",27.667225,NA,NA,NA,NA,0,1,NA,0,0
"Apogon apogonoides",10,3.5,"pelagic site attached","Night","coral",27.9905,NA,NA,NA,NA,0,1,NA,0,0
"Apogon atradorsatus",8.9,3.5,"pelagic site attached","Night","coral",25.0995,0.246814090909091,"NThr",5,"microinvertivore",0,1,0,0,0
"Apogon atricaudus",8,3.5,"pelagic site attached","Night","coral",28.278,0.246814090909091,"NThr",5,"microinvertivore",0,1,0,0,0
"Apogon binotatus",13,3.4,"pelagic site attached","Night","coral",27.204,0.246814090909091,"NThr",7,"crustacivore",0,1,0,0,0
"Apogon capricornis",5.8,3.4,"pelagic site attached","Night","coral",24.22825,NA,NA,NA,NA,0,1,NA,0,0
"Apogon chrysotaenia",12,3.6,"pelagic site attached","Night","coral",29.1024,NA,NA,NA,NA,0,1,NA,0,0
"Apogon doederleini",14,3.6,"pelagic site attached","Night","coral",23.2935,NA,NA,NA,NA,0,1,NA,0,0
"Apogon dovii",7.5,3.4,"pelagic site attached","Night","coral",27.870325,0.246814090909091,"NThr",7,"crustacivore",0,1,0,0,0
"Apogon flavus",9.6,3.6,"pelagic site attached","Night","coral",21.996,NA,NA,NA,NA,0,1,NA,0,0
"Apogon imberbis",15,3.9,"pelagic site attached","Night","rock",19.786,0.246814090909091,"NThr",7,"crustacivore",0,1,0,0,0
"Apogon lachneri",6.5,3.4,"pelagic site attached","Night","coral",27.008,0.246814090909091,"NThr",5,"microinvertivore",0,1,0,0,0
"Apogon limenus",14,3.6,"pelagic site attached","Night","rock",20.781,NA,NA,NA,NA,0,1,NA,0,0
"Apogon maculatus",11.1,3.5,"pelagic site attached","Night","coral",23.7445,0.246814090909091,"NThr",7,"crustacivore",0,1,0,0,0
"Apogon multilineatus",10,3.5,"pelagic site attached","Night","coral",30.026125,NA,NA,NA,NA,0,1,NA,0,0
"Apogon pacificus",10,3.4,"pelagic site attached","Night","coral",22.0739,0.246814090909091,"NThr",7,"crustacivore",0,1,0,0,0
"Apogon retrosella",10,3.5,"pelagic site attached","Night","coral",27.846,0.246814090909091,"NThr",7,"crustacivore",0,1,0,0,0
"Apogon townsendi",6.5,3.4,"pelagic site attached","Night","coral",27.0745,0.246814090909091,"NThr",5,"microinvertivore",0,1,0,0,0
"Apogon urostigma",15,3.7,"pelagic site attached","Night","coral",25.215,NA,NA,NA,NA,0,1,NA,0,0
"Apogon victoriae",14,3.5,"pelagic site attached","Night","rock",20.062,NA,NA,NA,NA,0,1,NA,0,0
"Apogonichthyoides pseudotaeniatus",14,NA,"benthic","Night","sand",NA,0.246814090909091,NA,7,"crustacivore",1,0,NA,0,0
"Apogonichthyoides timorensis",9,3.4,"Demersal","Night","sand",26.317,0.246814090909091,NA,8,"planktivore",0,1,NA,0,0
"Apolemichthys trimaculatus",26,2.6,"Demersal","Day","coral",28.5305,NA,"NThr",1,"sessile invertivores",0,1,0,1,0
"Aprion virescens",112,4,"pelagic site attached","Day","coral",26.7926,0.228279545454545,"NThr",4,"piscivore",0,1,0,1,1
"Archamia bleekeri",10,NA,"benthic","Night","coral",NA,0.246814090909091,NA,7,"crustacivore",1,0,NA,0,0
"Archamia macroptera",9,NA,"benthic","Night","coral",NA,NA,NA,NA,NA,1,0,NA,0,0
"Arothron caeruleopunctatus",54.14285714,3.226736111,"Demersal","Day","Coral",27.834,NA,"NThr",6,"macroinvertivore",0,1,0,1,0
"Arothron diadematus",30,3.3,"Demersal","Day","coral",25.6884,NA,"NThr",3,"corallivore",0,1,0,1,0
"Arothron hispidus",50,3.1,"Demersal","Day","coral",23.746,NA,"NThr",6,"macroinvertivore",0,1,0,1,0
"Arothron manilensis",31,3.5,"Demersal","Day","coral",25.9104,NA,"NThr",6,"macroinvertivore",0,1,0,1,0
"Arothron mappa",65,2.8,"Demersal","Day","coral",28.7403,NA,"NThr",6,"macroinvertivore",0,1,0,1,0
"Arothron meleagris",50,3.4,"Demersal","Day","coral",25.994875,NA,"NThr",3,"corallivore",0,1,0,1,0
"Arothron nigropunctatus",33,3.3,"Demersal","Day","coral",26.91675,NA,"NThr",3,"corallivore",0,1,0,1,0
"Arothron stellatus",120,3.3,"Demersal","Day","coral",25.08425,NA,"NThr",6,"macroinvertivore",0,1,0,1,0
"Aspidontus dussumieri",12,2,"benthic","Day","coral",22.10615,0.232229090909091,"NThr",8,"planktivore",1,0,0,0,0
"Aspidontus taeniatus",11.5,3.8,"benthic","Day","coral",23.6409,0.232229090909091,"NThr",8,"planktivore",1,0,0,0,0
"Assessor flavissimus",5.5,3.4,"Demersal","Day","coral",26.81445,NA,NA,5,"microinvertivore",0,1,NA,0,0
"Assessor macneilli",6,3.4,"Demersal","Day","coral",26.41605,NA,NA,5,"microinvertivore",0,1,NA,0,0
"Assessor randalli",4,3.5,"Demersal","Day","coral",24.860425,NA,NA,5,"microinvertivore",0,1,NA,0,0
"Assiculus punctatus",8,3.6,"benthic","Night","coral",25.6325,NA,NA,5,"microinvertivore",1,0,NA,0,0
"Asterropteryx atripes",3,NA,"benthic","Day","sand",NA,0.229279090909091,NA,NA,NA,1,0,NA,0,0
"Asterropteryx semipunctata",4.5,NA,"benthic","Day","sand",NA,0.229279090909091,"NThr",2,"Herbivores Microvores Detritivores",1,0,0,0,0
"Asterropteryx striata",2.5,NA,"benthic","Day","sand",29.616,0.229279090909091,NA,NA,NA,1,0,NA,0,0
"Atherina presbyter",20,3.7,"pelagic non-site attached","Day","water column",21.57795,NA,"NThr",NA,NA,0,1,0,1,0
"Atrosalarias holomelas",10,3,"benthic","Day","coral",NA,0.232229090909091,"NThr",2,"Herbivores Microvores Detritivores",1,0,0,0,0
"Atule mate",30,4.5,"pelagic non-site attached","Day","water column",23.823125,0.270051363636364,"NThr",4,"piscivore",0,1,0,1,0
"Atypichthys latus",30,3.5,"pelagic site attached","Day","coral",20.913875,NA,NA,7,"crustacivore",0,1,NA,1,0
"Atypichthys strigatus",25,3.4,"pelagic site attached","Day","rock",19.327,NA,NA,7,"crustacivore",0,1,NA,1,0
"Aulostomus chinensis",80,4.2,"Demersal","Day","coral",25.32745,0.206553636363636,"NThr",NA,NA,0,1,0,1,NA
"Aulostomus maculatus",100,4.3,"Demersal","Day","coral",26.885525,0.206553636363636,"NThr",NA,NA,0,1,0,1,NA
"Aulostomus strigosus",75,4.2,"Demersal","Day","rock",21.782,0.206553636363636,"NThr",NA,NA,0,1,0,1,NA
"Austrolabrus maculatus",17,3.4,"Demersal","Day","rock",18.918,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,0,0
"Axoclinus lucillae",3,2.7,"benthic","Day","coral",26.509,0.170519545454545,"NThr",NA,NA,1,0,0,0,0
"Balistapus undulatus",30,3.4,"Demersal","Day","coral",27.72825,0.248680454545455,NA,6,"macroinvertivore",0,1,NA,1,0
"Balistes capriscus",60,3.6,"Demersal","Day","sand",19.6847,0.248680454545455,"Thr",6,"macroinvertivore",0,1,1,1,0
"Balistes polylepis",76,3.3,"Demersal","Day","sand",24.9276,0.248680454545455,"NThr",6,"macroinvertivore",0,1,0,1,0
"Balistes vetula",60,3.4,"Demersal","Day","sand",21.1175,0.248680454545455,"NThr",6,"macroinvertivore",0,1,0,1,0
"Balistoides conspicillum",50,3.3,"Demersal","Day","coral",25.277775,0.248680454545455,NA,6,"macroinvertivore",0,1,NA,1,0
"Balistoides viridescens",75,3.3,"Demersal","Day","coral",27.02615,0.248680454545455,NA,6,"macroinvertivore",0,1,NA,1,0
"Belone belone",93,4.2,"pelagic non-site attached","Day","water column",12.62785,NA,"NThr",NA,NA,0,1,0,1,NA
"Belonoperca chabanaudi",15,4,"pelagic site attached","Night","coral",27.4011,0.247280909090909,"NThr",7,"crustacivore",0,1,0,0,0
"Blenniella chrysospilos",13,2.5,"benthic","Day","coral",26.4235,0.232229090909091,"NThr",2,"Herbivores Microvores Detritivores",1,0,0,0,0
"Bodianus albotaeniatus",52,3.130447761,"Demersal","Day","coral",25.438,0.214231363636364,"NThr",NA,NA,0,1,0,1,NA
"Bodianus anthioides",24,3.4,"Demersal","Day","coral",25.9125,0.214231363636364,"NThr",6,"macroinvertivore",0,1,0,1,0
"Bodianus axillaris",20,3.4,"Demersal","Day","coral",25.6195,0.214231363636364,"NThr",6,"macroinvertivore",0,1,0,1,0
"Bodianus bilunulatus",55,3.4,"Demersal","Day","coral",25.372225,0.214231363636364,"NThr",6,"macroinvertivore",0,1,0,1,0
"Bodianus diana",20,3.5,"Demersal","Day","coral",27.242,0.214231363636364,"NThr",8,"planktivore",0,1,0,1,0
"Bodianus dictynna",25,3.5,"Demersal","Day","coral",29.5915,0.214231363636364,"NThr",5,"microinvertivore",0,1,0,1,0
"Bodianus diplotaenia",76,3.4,"Demersal","Day","coral",25.487,0.214231363636364,"NThr",6,"macroinvertivore",0,1,0,1,0
"Bodianus eclancheri",61,2.7,"Demersal","Day","coral",23.1575,0.214231363636364,"NThr",6,"macroinvertivore",0,1,0,1,0
"Bodianus frenchii",49,3.5,"Demersal","Day","rock",19.8269,0.214231363636364,"NThr",6,"macroinvertivore",0,1,0,1,0
"Bodianus loxozonus",47,3.6,"Demersal","Day","coral",26.5375,0.214231363636364,"NThr",6,"macroinvertivore",0,1,0,1,0
"Bodianus mesothorax",25,3.2,"Demersal","Day","coral",27.4689,0.214231363636364,"NThr",6,"macroinvertivore",0,1,0,1,0
